shortlist_id,structural_scenario_id,candidate_id,variant,seed_pass_fraction,mean_distance,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,max_abs_return_acf,mean_log_variance_acf,p_cap_exceedance_fraction,passes_majority,passes_80pct,passes_all_seeds,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,orthogonal_curvature,echo_loading,cap_level,cap_sharpness,feedback_asset_correlation,spike_asset_correlation,equity_risk_price,feedback_idiosyncratic_risk_price,spike_idiosyncratic_risk_price
0,0,18,M2,1.0,0.0,0.0844498592249377,-0.0151250342848666,0.0480502039785611,10.283326167003263,0.0775624797187315,0.2074646584528081,4.409171075837742e-05,True,True,True,0.2333221411332488,0.0694007444800809,2.9358963377773764,0.2495993215590715,0.0477605582415221,0.0,6.073741978500038,7.956517500802875,0.996259961884662,0.979054833837768,0.35,0.0,0.0
1,1,18,M2,1.0,0.0,0.0845412828225959,-0.0148657218310705,0.0503303282512159,10.233859145551992,0.0772342050040313,0.2074122032857801,4.409171075837742e-05,True,True,True,0.2333221411332488,0.0694007444800809,2.9358963377773764,0.2495993215590715,0.0477605582415221,0.0,6.073741978500038,7.956517500802875,0.9766958138810892,0.98378601407178,0.35,0.0,0.0
2,2,18,M2,1.0,0.0,0.0844046369648601,-0.0149877861334686,0.0454196234540555,10.179238808076486,0.0769555968390257,0.2084241144259998,4.1335978835978834e-05,True,True,True,0.2333221411332488,0.0694007444800809,2.9358963377773764,0.2495993215590715,0.0477605582415221,0.0,6.073741978500038,7.956517500802875,0.9890775587322592,0.9612089653333922,0.35,0.0,0.0
3,3,18,M2,1.0,0.0,0.084469813741227,-0.0149398744749768,0.0430960392047692,10.112909938499508,0.0766625423200355,0.2092182228635687,3.8580246913580246e-05,True,True,True,0.2333221411332488,0.0694007444800809,2.9358963377773764,0.2495993215590715,0.0477605582415221,0.0,6.073741978500038,7.956517500802875,0.9844764295140136,0.9437096542220714,0.35,0.0,0.0
4,3,26,M2,1.0,0.0,0.0908225613311593,-0.014274169322552,0.0517848706941516,8.7791809757879,0.0751636090988334,0.233362973963104,1.1022927689594355e-05,True,True,True,0.2433293675072491,0.0601364664407447,3.038868862576783,0.2337071960419416,0.1057696200233448,0.0,6.421457636170089,8.555320414714515,0.9844764295140136,0.9437096542220714,0.35,0.0,0.0
5,2,26,M2,0.8,1.96508628350184e-10,0.0907436973837927,-0.0143064035116121,0.0544744919378833,8.830827500557488,0.0754304217537799,0.2325813859659256,1.3778659611992945e-05,True,True,False,0.2433293675072491,0.0601364664407447,3.038868862576783,0.2337071960419416,0.1057696200233448,0.0,6.421457636170089,8.555320414714515,0.9890775587322592,0.9612089653333922,0.35,0.0,0.0
6,3,14,M2,0.8,8.20106991527373e-10,0.0924205191603449,-0.0140052071350517,0.0518299142005971,9.589349988634137,0.0762608175111177,0.2123642434494196,9.64506172839506e-05,True,True,False,0.2083334128372371,0.0624898989358916,2.92039684318006,0.2527929180115461,0.0901783336709223,0.0,5.331442344933748,7.0982246696949005,0.9844764295140136,0.9437096542220714,0.35,0.0,0.0
7,0,14,M2,0.8,6.194351738880234e-09,0.0922833381111123,-0.0141656286349003,0.0574451023280936,9.751223476933074,0.0772745767685005,0.2105335465959289,0.0001047178130511,True,True,False,0.2083334128372371,0.0624898989358916,2.92039684318006,0.2527929180115461,0.0901783336709223,0.0,5.331442344933748,7.0982246696949005,0.996259961884662,0.979054833837768,0.35,0.0,0.0
8,2,14,M2,0.8,6.518021601075337e-09,0.0922978092581176,-0.0140453111938997,0.0544623157497065,9.650961836169357,0.0766410522812176,0.211547505028088,0.0001019620811287,True,True,False,0.2083334128372371,0.0624898989358916,2.92039684318006,0.2527929180115461,0.0901783336709223,0.0,5.331442344933748,7.0982246696949005,0.9890775587322592,0.9612089653333922,0.35,0.0,0.0
9,0,26,M2,0.8,6.8106802324845e-09,0.090779363471726,-0.0144008088864008,0.0573025707785918,8.921298278000073,0.0760388054212444,0.2316268410271928,1.3778659611992945e-05,True,True,False,0.2433293675072491,0.0601364664407447,3.038868862576783,0.2337071960419416,0.1057696200233448,0.0,6.421457636170089,8.555320414714515,0.996259961884662,0.979054833837768,0.35,0.0,0.0
10,3,28,M2,0.8,6.184093366507154e-08,0.0870424400519117,-0.0140928749331582,0.0469348926109986,8.813778410555157,0.0749079882397898,0.2566067519722982,7.164902998236332e-05,True,True,False,0.2879540531896055,0.0639038967574015,2.9761056745424868,0.2173629315197467,0.0632536642051904,0.0,5.157286320813,8.887301716022193,0.9844764295140136,0.9437096542220714,0.35,0.0,0.0
11,1,26,M2,0.8,9.661533981626702e-08,0.0908777638280566,-0.0141466591849032,0.059336247265213,8.889473310818634,0.0757390752158912,0.2316484495015476,1.3778659611992945e-05,True,True,False,0.2433293675072491,0.0601364664407447,3.038868862576783,0.2337071960419416,0.1057696200233448,0.0,6.421457636170089,8.555320414714515,0.9766958138810892,0.98378601407178,0.35,0.0,0.0
12,2,28,M2,0.8,9.902199078215429e-08,0.0870243870115754,-0.0141146687467521,0.0492206918833083,8.877197033805382,0.075107850309669,0.2558698218425574,7.716049382716049e-05,True,True,False,0.2879540531896055,0.0639038967574015,2.9761056745424868,0.2173629315197467,0.0632536642051904,0.0,5.157286320813,8.887301716022193,0.9890775587322592,0.9612089653333922,0.35,0.0,0.0
13,1,14,M2,0.8,1.2416887004828917e-07,0.0923926284308249,-0.0139084695984144,0.0595070603880079,9.711648473777556,0.0771229422308052,0.2104694588273777,0.0001129850088183,True,True,False,0.2083334128372371,0.0624898989358916,2.92039684318006,0.2527929180115461,0.0901783336709223,0.0,5.331442344933748,7.0982246696949005,0.9766958138810892,0.98378601407178,0.35,0.0,0.0
14,0,28,M2,0.8,1.723344047187494e-07,0.0871391177515262,-0.0141898792194059,0.0516717770599841,8.96943150200353,0.0756251125028794,0.2550202335497479,7.716049382716049e-05,True,True,False,0.2879540531896055,0.0639038967574015,2.9761056745424868,0.2173629315197467,0.0632536642051904,0.0,5.157286320813,8.887301716022193,0.996259961884662,0.979054833837768,0.35,0.0,0.0
15,1,28,M2,0.8,3.784047970038785e-07,0.0872531607885331,-0.0139496307099091,0.0536173759341104,8.923172346559651,0.0753668762090874,0.2551947683004249,8.267195767195767e-05,True,True,False,0.2879540531896055,0.0639038967574015,2.9761056745424868,0.2173629315197467,0.0632536642051904,0.0,5.157286320813,8.887301716022193,0.9766958138810892,0.98378601407178,0.35,0.0,0.0
