study,variant,metric,seed_count,mean,between_seed_sd,seed_min,seed_max
Pilot 1,M2,excess_kurtosis,3,2.371907587537726,0.14636674201737238,2.265449171886998,2.538816949618935
Pilot 1,M2,leverage_rank,3,-0.0073532957786904135,0.001296392123903462,-0.008850219195484017,-0.0065979237801296045
Pilot 1,M2,max_abs_return_acf,3,0.0774739979515973,0.002602560740616047,0.07579490343691833,0.08047197139870498
Pilot 1,M2,mean_log_variance_acf,3,0.5718403905929944,0.011750146094077957,0.5642736323586924,0.5853769261530563
Pilot 1,M2,p_cap_exceedance_fraction,3,0.0010637125220458435,0.00011294509406475906,0.0009817294973544835,0.001192542989417976
Pilot 1,M2,rough_hurst,3,0.20908373689983425,0.008336487165573309,0.20065322687359807,0.21732290714378374
Pilot 1,M2,stage2_proxy_acceptance,3,0.0,0.0,0.0,0.0
Pilot 1,M2,zumbach_rank,3,0.018697095369761774,0.019762635695700265,-0.003539230038231419,0.03425610753116442
Pilot 1,M2+O,excess_kurtosis,3,2.3730958408120273,0.15097014322783717,2.268290563420228,2.546137919656473
Pilot 1,M2+O,leverage_rank,3,-0.0075184705442318325,0.001689073095382369,-0.009459694685835693,-0.006384443218372907
Pilot 1,M2+O,max_abs_return_acf,3,0.07742157842087836,0.002566222821872478,0.07574575950277086,0.08037590532145539
Pilot 1,M2+O,mean_log_variance_acf,3,0.5715779731440104,0.013761349923099634,0.5629149298118579,0.5874458942429657
Pilot 1,M2+O,p_cap_exceedance_fraction,3,0.0010964368386243253,0.0001134906004033688,0.0010085978835978689,0.0012245783730158574
Pilot 1,M2+O,rough_hurst,3,0.20923248895388769,0.008189205471150797,0.20090734948650021,0.21727862996736202
Pilot 1,M2+O,stage2_proxy_acceptance,3,0.0,0.0,0.0,0.0
Pilot 1,M2+O,zumbach_rank,3,0.01873897386904742,0.020165825647696794,-0.0039028247911137826,0.03476861391484466
Pilot 1,M3,excess_kurtosis,3,2.398362217714904,0.15363819214830465,2.2859018126101405,2.573416605723588
Pilot 1,M3,leverage_rank,3,-0.0067749105987180746,0.0011557354864221254,-0.008106390205807078,-0.0060310935481359615
Pilot 1,M3,max_abs_return_acf,3,0.07748325284811684,0.0027281461206044282,0.07571861748188397,0.08062551030333985
Pilot 1,M3,mean_log_variance_acf,3,0.5677376708368853,0.010391598662829238,0.5596492182333198,0.5794577048244572
Pilot 1,M3,p_cap_exceedance_fraction,3,0.0011091820987654186,0.00011037719060027756,0.0010282324735449615,0.001234912367724849
Pilot 1,M3,rough_hurst,3,0.20983626826098697,0.007970394232581706,0.20178956691463454,0.21772809826133158
Pilot 1,M3,stage2_proxy_acceptance,3,0.006944444444444444,0.012028130608117204,0.0,0.020833333333333332
