seed,variant,criterion,pass_rate
360007,M2,max_abs_return_acf,1.0
360007,M2,mean_log_variance_acf,1.0
360007,M2,rough_hurst,0.828125
360007,M2,leverage_rank,1.0
360007,M2,zumbach_rank,1.0
360007,M2,excess_kurtosis,1.0
360007,M2,taylor_gap,1.0
360007,M3,max_abs_return_acf,1.0
360007,M3,mean_log_variance_acf,1.0
360007,M3,rough_hurst,0.828125
360007,M3,leverage_rank,1.0
360007,M3,zumbach_rank,1.0
360007,M3,excess_kurtosis,1.0
360007,M3,taylor_gap,1.0
360007,M2+O,max_abs_return_acf,1.0
360007,M2+O,mean_log_variance_acf,1.0
360007,M2+O,rough_hurst,0.875
360007,M2+O,leverage_rank,1.0
360007,M2+O,zumbach_rank,1.0
360007,M2+O,excess_kurtosis,1.0
360007,M2+O,taylor_gap,1.0
360007,M4,max_abs_return_acf,1.0
360007,M4,mean_log_variance_acf,1.0
360007,M4,rough_hurst,0.875
360007,M4,leverage_rank,1.0
360007,M4,zumbach_rank,1.0
360007,M4,excess_kurtosis,1.0
360007,M4,taylor_gap,1.0
390001,M2,max_abs_return_acf,1.0
390001,M2,mean_log_variance_acf,0.96875
390001,M2,rough_hurst,0.75
390001,M2,leverage_rank,0.96875
390001,M2,zumbach_rank,1.0
390001,M2,excess_kurtosis,1.0
390001,M2,taylor_gap,1.0
390001,M3,max_abs_return_acf,1.0
390001,M3,mean_log_variance_acf,0.96875
390001,M3,rough_hurst,0.75
390001,M3,leverage_rank,0.96875
390001,M3,zumbach_rank,1.0
390001,M3,excess_kurtosis,1.0
390001,M3,taylor_gap,1.0
390001,M2+O,max_abs_return_acf,1.0
390001,M2+O,mean_log_variance_acf,0.96875
390001,M2+O,rough_hurst,0.78125
390001,M2+O,leverage_rank,0.9375
390001,M2+O,zumbach_rank,1.0
390001,M2+O,excess_kurtosis,1.0
390001,M2+O,taylor_gap,1.0
390001,M4,max_abs_return_acf,1.0
390001,M4,mean_log_variance_acf,0.96875
390001,M4,rough_hurst,0.78125
390001,M4,leverage_rank,0.9375
390001,M4,zumbach_rank,1.0
390001,M4,excess_kurtosis,1.0
390001,M4,taylor_gap,1.0
420001,M2,max_abs_return_acf,1.0
420001,M2,mean_log_variance_acf,0.96875
420001,M2,rough_hurst,0.21875
420001,M2,leverage_rank,0.8203125
420001,M2,zumbach_rank,0.9765625
420001,M2,excess_kurtosis,1.0
420001,M2,taylor_gap,1.0
420001,M3,max_abs_return_acf,1.0
420001,M3,mean_log_variance_acf,0.96875
420001,M3,rough_hurst,0.21875
420001,M3,leverage_rank,0.8203125
420001,M3,zumbach_rank,0.9765625
420001,M3,excess_kurtosis,1.0
420001,M3,taylor_gap,1.0
420001,M2+O,max_abs_return_acf,1.0
420001,M2+O,mean_log_variance_acf,0.96875
420001,M2+O,rough_hurst,0.34375
420001,M2+O,leverage_rank,0.703125
420001,M2+O,zumbach_rank,0.9765625
420001,M2+O,excess_kurtosis,1.0
420001,M2+O,taylor_gap,1.0
420001,M4,max_abs_return_acf,1.0
420001,M4,mean_log_variance_acf,0.96875
420001,M4,rough_hurst,0.34375
420001,M4,leverage_rank,0.703125
420001,M4,zumbach_rank,0.9765625
420001,M4,excess_kurtosis,1.0
420001,M4,taylor_gap,1.0
450007,M2,max_abs_return_acf,1.0
450007,M2,mean_log_variance_acf,1.0
450007,M2,rough_hurst,0.7578125
450007,M2,leverage_rank,1.0
450007,M2,zumbach_rank,1.0
450007,M2,excess_kurtosis,1.0
450007,M2,taylor_gap,1.0
450007,M3,max_abs_return_acf,1.0
450007,M3,mean_log_variance_acf,1.0
450007,M3,rough_hurst,0.7578125
450007,M3,leverage_rank,1.0
450007,M3,zumbach_rank,1.0
450007,M3,excess_kurtosis,1.0
450007,M3,taylor_gap,1.0
450007,M2+O,max_abs_return_acf,1.0
450007,M2+O,mean_log_variance_acf,1.0
450007,M2+O,rough_hurst,0.8046875
450007,M2+O,leverage_rank,1.0
450007,M2+O,zumbach_rank,1.0
450007,M2+O,excess_kurtosis,1.0
450007,M2+O,taylor_gap,1.0
450007,M4,max_abs_return_acf,1.0
450007,M4,mean_log_variance_acf,1.0
450007,M4,rough_hurst,0.8046875
450007,M4,leverage_rank,1.0
450007,M4,zumbach_rank,1.0
450007,M4,excess_kurtosis,1.0
450007,M4,taylor_gap,1.0
480013,M2,max_abs_return_acf,1.0
480013,M2,mean_log_variance_acf,1.0
480013,M2,rough_hurst,0.78125
480013,M2,leverage_rank,1.0
480013,M2,zumbach_rank,0.875
480013,M2,excess_kurtosis,1.0
480013,M2,taylor_gap,1.0
480013,M3,max_abs_return_acf,1.0
480013,M3,mean_log_variance_acf,1.0
480013,M3,rough_hurst,0.78125
480013,M3,leverage_rank,1.0
480013,M3,zumbach_rank,0.875
480013,M3,excess_kurtosis,1.0
480013,M3,taylor_gap,1.0
480013,M2+O,max_abs_return_acf,1.0
480013,M2+O,mean_log_variance_acf,1.0
480013,M2+O,rough_hurst,0.8203125
480013,M2+O,leverage_rank,0.984375
480013,M2+O,zumbach_rank,0.8984375
480013,M2+O,excess_kurtosis,1.0
480013,M2+O,taylor_gap,1.0
480013,M4,max_abs_return_acf,1.0
480013,M4,mean_log_variance_acf,1.0
480013,M4,rough_hurst,0.8203125
480013,M4,leverage_rank,0.984375
480013,M4,zumbach_rank,0.8984375
480013,M4,excess_kurtosis,1.0
480013,M4,taylor_gap,1.0
