variant,criterion,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max
M2,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2,mean_log_variance_acf,5,0.9875,0.01711632992203644,0.00765465544619743,0.9662472693544295,1.0087527306455706,0.96875,1.0
M2,rough_hurst,5,0.6671875,0.2525262981354615,0.11293319374745406,0.3536346870055272,0.980740312994473,0.21875,0.828125
M2,leverage_rank,5,0.9578125,0.07804683589838861,0.03490360609951356,0.8609045536912536,1.0547204463087463,0.8203125,1.0
M2,zumbach_rank,5,0.9703125,0.05423923424284306,0.024256522962906285,0.902965595550521,1.0376594044494791,0.875,1.0
M2,excess_kurtosis,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M3,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M3,mean_log_variance_acf,5,0.9875,0.01711632992203644,0.00765465544619743,0.9662472693544295,1.0087527306455706,0.96875,1.0
M3,rough_hurst,5,0.6671875,0.2525262981354615,0.11293319374745406,0.3536346870055272,0.980740312994473,0.21875,0.828125
M3,leverage_rank,5,0.9578125,0.07804683589838861,0.03490360609951356,0.8609045536912536,1.0547204463087463,0.8203125,1.0
M3,zumbach_rank,5,0.9703125,0.05423923424284306,0.024256522962906285,0.902965595550521,1.0376594044494791,0.875,1.0
M3,excess_kurtosis,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M3,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2+O,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2+O,mean_log_variance_acf,5,0.9875,0.01711632992203644,0.00765465544619743,0.9662472693544295,1.0087527306455706,0.96875,1.0
M2+O,rough_hurst,5,0.725,0.21589939515460665,0.09655314477335783,0.4569254938025567,0.9930745061974433,0.34375,0.875
M2+O,leverage_rank,5,0.925,0.12664927580724653,0.056639278001224556,0.767744153831563,1.082255846168437,0.703125,1.0
M2+O,zumbach_rank,5,0.975,0.04398652581331015,0.01967137236252214,0.9203835144915522,1.0296164855084478,0.8984375,1.0
M2+O,excess_kurtosis,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2+O,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M4,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M4,mean_log_variance_acf,5,0.9875,0.01711632992203644,0.00765465544619743,0.9662472693544295,1.0087527306455706,0.96875,1.0
M4,rough_hurst,5,0.725,0.21589939515460665,0.09655314477335783,0.4569254938025567,0.9930745061974433,0.34375,0.875
M4,leverage_rank,5,0.925,0.12664927580724653,0.056639278001224556,0.767744153831563,1.082255846168437,0.703125,1.0
M4,zumbach_rank,5,0.975,0.04398652581331015,0.01967137236252214,0.9203835144915522,1.0296164855084478,0.8984375,1.0
M4,excess_kurtosis,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M4,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
