effect,metric,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max,pooled_q10,pooled_median,pooled_q90
echo_at_O0,absolute_return_tail_ratio,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,acceptance_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,distance,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,excess_kurtosis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,hill_tail_index,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,hill_threshold_instability,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,leverage,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,leverage_rank,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,max_abs_return_acf,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,mean_log_variance_acf,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,mean_volatility,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,p_cap_exceedance_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,q995_volatility,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,q_cap_exceedance_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,q_forward_mean_max_error,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,rough_hurst,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,taylor_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,taylor_gap,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,zumbach,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O0,zumbach_rank,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,absolute_return_tail_ratio,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,acceptance_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,distance,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,excess_kurtosis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,hill_tail_index,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,hill_threshold_instability,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,leverage,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,leverage_rank,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,max_abs_return_acf,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,mean_log_variance_acf,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,mean_volatility,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,p_cap_exceedance_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,q995_volatility,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,q_cap_exceedance_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,q_forward_mean_max_error,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,rough_hurst,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,taylor_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,taylor_gap,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,zumbach,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_at_O1,zumbach_rank,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,absolute_return_tail_ratio,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,acceptance_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,distance,5,9.675105110029418e-24,1.9125436616964447e-23,8.553155274979222e-24,-1.407226098718333e-23,3.3422471207242166e-23,-1.6543612251060553e-24,4.341244187482892e-23,0.0,0.0,0.0
echo_orthogonal_interaction,excess_kurtosis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,hill_tail_index,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,hill_threshold_instability,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,leverage,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,leverage_rank,5,1.3552527156068806e-21,3.0304371987881757e-21,1.3552527156068808e-21,-2.4075320529458608e-21,5.1180374841596224e-21,0.0,6.776263578034403e-21,0.0,0.0,0.0
echo_orthogonal_interaction,max_abs_return_acf,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,mean_log_variance_acf,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,mean_volatility,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,p_cap_exceedance_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,q995_volatility,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,q_cap_exceedance_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,q_forward_mean_max_error,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,rough_hurst,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,taylor_fraction,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,taylor_gap,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,zumbach,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo_orthogonal_interaction,zumbach_rank,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orthogonal_at_echo0,absolute_return_tail_ratio,5,0.0031938349536343724,0.013045977053132098,0.005834338304741151,-0.01300488507463219,0.019392554981900935,-0.008718490391703047,0.02129735151612216,-0.023108822404094773,-0.0008147872338259976,0.03761903218599896
orthogonal_at_echo0,acceptance_rate,5,0.0265625,0.020372507516258277,0.009110862335695781,0.001266690863926511,0.05185830913607349,0.0,0.046875,0.0,0.0,0.0
orthogonal_at_echo0,distance,5,-0.001224384157632393,0.0015471388504449308,0.0006919015280451491,-0.003145410768452221,0.000696642453187435,-0.003974485371778285,-0.0003089912901412164,-0.003916089753439854,0.0,0.0
orthogonal_at_echo0,excess_kurtosis,5,0.06706963965593302,0.1938397395997205,0.08668776689716658,-0.17361418642623244,0.3077534657380985,-0.199749367396305,0.33014408850019517,-0.18472205347336193,0.0060498742188288546,0.4034730003303045
orthogonal_at_echo0,hill_tail_index,5,-0.0013505526573541898,0.01794959928843677,0.008027304835565295,-0.023637923875990032,0.020936818561281653,-0.023873865782442653,0.015193552318887006,-0.03837668633648419,0.002463409078035328,0.030899606385661745
orthogonal_at_echo0,hill_threshold_instability,5,0.002888204373719646,0.016986302032571836,0.007596505206234694,-0.018203075322740223,0.023979484070179517,-0.016352450865602733,0.025569529744470736,-0.028770233324432164,0.000716430082745495,0.03992789491481164
orthogonal_at_echo0,leverage,5,0.0010176723189867826,0.001630295551598749,0.0007290903353580637,-0.001006606973865131,0.0030419516118386962,-0.0013065211332060683,0.002780043604416219,-0.0011117386173559068,0.0004979698673158207,0.004139627137338998
orthogonal_at_echo0,leverage_rank,5,0.0012801634092858044,0.0008810525819908596,0.00039401869301665377,0.00018619213770328406,0.002374134680868325,0.0002998232593364382,0.002338693706819449,-4.7048130795612406e-05,0.0006431517631231218,0.003763292499165497
orthogonal_at_echo0,max_abs_return_acf,5,0.0003755587265168869,0.0010014693312983963,0.00044787070043289436,-0.0008679296874615298,0.0016190471404953035,-0.001091610945685358,0.0013056272722096998,-0.0010464800201144722,0.00020472884828003773,0.002125115687702138
