parameter_class,variant,parameter,metric,spearman,pvalue,sample_count
readout,M2,cap_level,accepted,0.15087382977513342,0.4097981587068153,32
readout,M2,cap_sharpness,accepted,-0.08343626559376505,0.6498277951378862,32
readout,M2,cluster_loading,accepted,-0.0002025152077518569,0.999122312736424,32
readout,M2,feedback_curvature,accepted,-0.5868890720648814,0.0004144326767421568,32
readout,M2,feedback_shift,accepted,-0.28190116919058483,0.11802404817866202,32
readout,M2,spike_curvature,accepted,0.3153161784696412,0.07876653761984273,32
readout,M2,cap_level,distance,-0.08577712609970674,0.6406534372860643,32
readout,M2,cap_sharpness,distance,0.0018328445747800585,0.9920566981279082,32
readout,M2,cluster_loading,distance,-0.12646627565982405,0.49037307554095183,32
readout,M2,feedback_curvature,distance,0.7115102639296187,4.986816124182018e-06,32
readout,M2,feedback_shift,distance,0.4087243401759531,0.02020122113027062,32
readout,M2,spike_curvature,distance,-0.4556451612903225,0.008775139039326144,32
readout,M2,cap_level,excess_kurtosis,-0.12866568914956011,0.48279722341584874,32
readout,M2,cap_sharpness,excess_kurtosis,0.027126099706744865,0.8828398261247812,32
readout,M2,cluster_loading,excess_kurtosis,0.07734604105571846,0.673931181637811,32
readout,M2,feedback_curvature,excess_kurtosis,0.6924486803519061,1.127601047910165e-05,32
readout,M2,feedback_shift,excess_kurtosis,0.2686950146627566,0.13701568586353766,32
readout,M2,spike_curvature,excess_kurtosis,0.627932551319648,0.00011934842765554692,32
readout,M2,cap_level,leverage_rank,0.06341642228739001,0.7302356188327076,32
readout,M2,cap_sharpness,leverage_rank,0.01539589442815249,0.9333489581314992,32
readout,M2,cluster_loading,leverage_rank,0.4395161290322581,0.011838241480749271,32
readout,M2,feedback_curvature,leverage_rank,-0.48497067448680353,0.004904960786989911,32
readout,M2,feedback_shift,leverage_rank,-0.3119501466275659,0.08218978030286805,32
readout,M2,spike_curvature,leverage_rank,0.6726539589442815,2.471682238247729e-05,32
readout,M2,cap_level,rough_hurst,0.059384164222873896,0.7468107794541506,32
readout,M2,cap_sharpness,rough_hurst,0.03115835777126099,0.865571245718104,32
