study,variant,metric,seed_count,mean,between_seed_sd,seed_min,seed_max
Stage 2,M2,excess_kurtosis,5,8.498676130497572,0.4154330949531385,7.944898499733306,9.066386080723912
Stage 2,M2,leverage_rank,5,-0.005818483962475388,0.003356220165416015,-0.010358357549201305,-0.0028715601158997303
Stage 2,M2,max_abs_return_acf,5,0.07845014695409182,0.0025373754499365643,0.07536750365561078,0.08095007146610003
Stage 2,M2,mean_log_variance_acf,5,0.20057596657465987,0.020374278145599917,0.17763681672452486,0.22858536085794756
Stage 2,M2,p_cap_exceedance_fraction,5,0.0029193793402777423,0.0001277854880203398,0.002710929749503927,0.0030240497891864723
Stage 2,M2,rough_hurst,5,0.040807797903469244,0.002726131596867246,0.03835219405405022,0.04544578514561523
Stage 2,M2,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M2,zumbach_rank,5,0.015242108608214362,0.007758323944423905,0.005189461850923107,0.026237663560043645
Stage 2,M2+O,excess_kurtosis,5,8.751234230060536,0.5254337698536232,8.0426275676369,9.471403471939187
Stage 2,M2+O,leverage_rank,5,-0.005308588820054045,0.003162465755290404,-0.008751056082110256,-0.0022720913879453845
Stage 2,M2+O,max_abs_return_acf,5,0.07985780265589108,0.00213277105413252,0.0776138970064018,0.08268351424675283
Stage 2,M2+O,mean_log_variance_acf,5,0.2172156231457328,0.01993084592292814,0.19366666024223483,0.2423130821869569
Stage 2,M2+O,p_cap_exceedance_fraction,5,0.0029857623387896477,0.00017460683487486266,0.002690778459821394,0.003120930989583298
Stage 2,M2+O,rough_hurst,5,0.04823072408153839,0.0031013803941407295,0.04564794998738522,0.05333453493844207
Stage 2,M2+O,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M2+O,zumbach_rank,5,0.014892623883107326,0.00331166069653671,0.011115212684462243,0.018484393156410796
Stage 2,M3,excess_kurtosis,5,8.50982740954831,0.41174132447042594,7.962133733268656,9.074859862902395
Stage 2,M3,leverage_rank,5,-0.005818723860625034,0.00332868364025326,-0.010303676103191182,-0.002882521210178495
Stage 2,M3,max_abs_return_acf,5,0.07846585144782854,0.002541577561092749,0.07537742609164955,0.08096808745788209
Stage 2,M3,mean_log_variance_acf,5,0.20081726760016855,0.020338515201978078,0.1777706749480667,0.22871000230677385
Stage 2,M3,p_cap_exceedance_fraction,5,0.0029404219370039336,0.0001310386623472304,0.0027246868799602805,0.003048270089285678
Stage 2,M3,rough_hurst,5,0.04105727986477727,0.0027220564665727206,0.038607103347710815,0.04568932533024421
Stage 2,M3,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M3,zumbach_rank,5,0.014826696941451657,0.007719817865527199,0.004788697859914173,0.025774997755577497
Stage 2,M4,excess_kurtosis,5,8.762464945457472,0.5228129315515929,8.058409024201303,9.481246239217867
Stage 2,M4,leverage_rank,5,-0.005312296786379664,0.003139793297194411,-0.008708027066378179,-0.0023178156969970764
Stage 2,M4,max_abs_return_acf,5,0.07988995412504978,0.002140221050311834,0.07765508210370334,0.0827599461702272
Stage 2,M4,mean_log_variance_acf,5,0.21744168162532213,0.01993104108290414,0.1937575024008222,0.2424971779087696
Stage 2,M4,p_cap_exceedance_fraction,5,0.0030109126984126616,0.00017940606026391184,0.002705698164682503,0.003146313864087265
Stage 2,M4,rough_hurst,5,0.04841523809732718,0.003097310984743692,0.04583841522220574,0.05351401595878582
Stage 2,M4,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M4,zumbach_rank,5,0.014466479726754,0.003248342443354891,0.010908276219097695,0.018070514006969865
Stage 3,M2,excess_kurtosis,5,9.836592559328942,1.3412947038051963,8.385059466656719,11.966067412116852
Stage 3,M2,leverage_rank,5,-0.017456586654058158,0.006087197077415674,-0.024294848143471832,-0.011247366748531131
Stage 3,M2,max_abs_return_acf,5,0.07534600839819869,0.004896487994703891,0.06783437563962202,0.08067713669819815
Stage 3,M2,mean_log_variance_acf,5,0.20902150108599193,0.02072902250106412,0.19195448488323386,0.2446652397447054
Stage 3,M2,p_cap_exceedance_fraction,5,9.41254684744268e-05,3.5581253183522945e-05,6.178867669753087e-05,0.00013918599123677246
Stage 3,M2,rough_hurst,5,0.075429222838599,0.00704410152723671,0.06324025969682565,0.08030983640724713
Stage 3,M2,stage2_proxy_acceptance,5,0.6203125,0.3273148480677664,0.0390625,0.828125
Stage 3,M2,zumbach_rank,5,0.04158479440611717,0.012936611256413589,0.02704835081355165,0.058308057449036894
Stage 3,M2+O,excess_kurtosis,5,9.903662198984875,1.4043311781583017,8.437549075788722,12.111271651693647
Stage 3,M2+O,leverage_rank,5,-0.016176423244772357,0.005748355949309984,-0.022896095804769014,-0.009362017341012847
Stage 3,M2+O,max_abs_return_acf,5,0.07572156712471559,0.004264888702799518,0.06914000291183173,0.08048049064296797
Stage 3,M2+O,mean_log_variance_acf,5,0.21761112282787504,0.021835353957001893,0.19938888033740204,0.25460611200731836
Stage 3,M2+O,p_cap_exceedance_fraction,5,9.744095844356261e-05,4.0908539992096463e-05,5.67293251212522e-05,0.00014176948991402117
Stage 3,M2+O,rough_hurst,5,0.07771530367210396,0.006647621214154521,0.06626626047956435,0.08272833763893273
Stage 3,M2+O,stage2_proxy_acceptance,5,0.646875,0.3357284960304606,0.0546875,0.875
Stage 3,M2+O,zumbach_rank,5,0.03952570032755942,0.011000905907095068,0.02775772486008974,0.05275181281572364
Stage 3,M3,excess_kurtosis,5,9.836592559328942,1.3412947038051963,8.385059466656719,11.966067412116852
Stage 3,M3,leverage_rank,5,-0.017456586654058158,0.006087197077415674,-0.024294848143471832,-0.011247366748531131
Stage 3,M3,max_abs_return_acf,5,0.07534600839819869,0.004896487994703891,0.06783437563962202,0.08067713669819815
Stage 3,M3,mean_log_variance_acf,5,0.20902150108599193,0.02072902250106412,0.19195448488323386,0.2446652397447054
Stage 3,M3,p_cap_exceedance_fraction,5,9.41254684744268e-05,3.5581253183522945e-05,6.178867669753087e-05,0.00013918599123677246
Stage 3,M3,rough_hurst,5,0.075429222838599,0.00704410152723671,0.06324025969682565,0.08030983640724713
Stage 3,M3,stage2_proxy_acceptance,5,0.6203125,0.3273148480677664,0.0390625,0.828125
Stage 3,M3,zumbach_rank,5,0.04158479440611717,0.012936611256413589,0.02704835081355165,0.058308057449036894
Stage 3,M4,excess_kurtosis,5,9.903662198984875,1.4043311781583017,8.437549075788722,12.111271651693647
Stage 3,M4,leverage_rank,5,-0.016176423244772357,0.005748355949309984,-0.022896095804769014,-0.009362017341012847
Stage 3,M4,max_abs_return_acf,5,0.07572156712471559,0.004264888702799518,0.06914000291183173,0.08048049064296797
Stage 3,M4,mean_log_variance_acf,5,0.21761112282787504,0.021835353957001893,0.19938888033740204,0.25460611200731836
Stage 3,M4,p_cap_exceedance_fraction,5,9.744095844356261e-05,4.0908539992096463e-05,5.67293251212522e-05,0.00014176948991402117
Stage 3,M4,rough_hurst,5,0.07771530367210396,0.006647621214154521,0.06626626047956435,0.08272833763893273
Stage 3,M4,stage2_proxy_acceptance,5,0.646875,0.3357284960304606,0.0546875,0.875
Stage 3,M4,zumbach_rank,5,0.03952570032755942,0.011000905907095068,0.02775772486008974,0.05275181281572364
