variant,check,mean,between_seed_sd,seed_min,seed_max
M2,Zumbach > 0.03,0.7515625,0.2858456990613555,0.375,1.0
M2,Zumbach > 0.05,0.2890625,0.319644883523106,0.0,0.75
M2,joint with Zumbach > 0.03,0.540625,0.3293967171445778,0.0390625,0.828125
M2,joint with Zumbach > 0.05,0.2625,0.2740283794324504,0.0,0.6171875
M2+O,Zumbach > 0.03,0.7328125,0.287548823979294,0.3984375,1.0
M2+O,Zumbach > 0.05,0.2375,0.2585571631972802,0.0,0.59375
M2+O,joint with Zumbach > 0.03,0.5546875,0.3332468556443931,0.0546875,0.875
M2+O,joint with Zumbach > 0.05,0.2125,0.21842889378611294,0.0,0.46875
M3,Zumbach > 0.03,0.7515625,0.2858456990613555,0.375,1.0
M3,Zumbach > 0.05,0.2890625,0.319644883523106,0.0,0.75
M3,joint with Zumbach > 0.03,0.540625,0.3293967171445778,0.0390625,0.828125
M3,joint with Zumbach > 0.05,0.2625,0.2740283794324504,0.0,0.6171875
M4,Zumbach > 0.03,0.7328125,0.287548823979294,0.3984375,1.0
M4,Zumbach > 0.05,0.2375,0.2585571631972802,0.0,0.59375
M4,joint with Zumbach > 0.03,0.5546875,0.3332468556443931,0.0546875,0.875
M4,joint with Zumbach > 0.05,0.2125,0.21842889378611294,0.0,0.46875
