model,return_type,direction,decile,mean_standardized_response
anchor,ito,backward,1,-0.1860918467900288
anchor,ito,backward,2,-0.1526871084984496
anchor,ito,backward,3,-0.1081928848089983
anchor,ito,backward,4,-0.07846153579316616
anchor,ito,backward,5,-0.033842927260770525
anchor,ito,backward,6,-0.0070434149611345535
anchor,ito,backward,7,0.03225993154038648
anchor,ito,backward,8,0.07984744023969702
anchor,ito,backward,9,0.13272182991697765
anchor,ito,backward,10,0.3214905164154868
anchor,ito,forward,1,-0.16774551442363625
anchor,ito,forward,2,-0.17132838616482665
anchor,ito,forward,3,-0.17224324158672538
anchor,ito,forward,4,-0.15048557388815106
anchor,ito,forward,5,-0.13295619170364698
anchor,ito,forward,6,-0.10511710885638384
anchor,ito,forward,7,-0.06517424535817962
anchor,ito,forward,8,0.011692785530503489
anchor,ito,forward,9,0.17033318283737664
anchor,ito,forward,10,0.7830242936136695
anchor,log,backward,1,-0.18482709813888804
anchor,log,backward,2,-0.1515056209979809
anchor,log,backward,3,-0.10715364122595533
anchor,log,backward,4,-0.07826577108260159
anchor,log,backward,5,-0.034212610117176294
anchor,log,backward,6,-0.007280599679245693
anchor,log,backward,7,0.03244300451956079
anchor,log,backward,8,0.0799562302674723
anchor,log,backward,9,0.13313397058707147
anchor,log,backward,10,0.31771213586774333
anchor,log,forward,1,-0.1719738807929889
anchor,log,forward,2,-0.17297499768335134
anchor,log,forward,3,-0.1726129402419389
anchor,log,forward,4,-0.15328250597141393
anchor,log,forward,5,-0.13672951574307363
anchor,log,forward,6,-0.1078062348883753
anchor,log,forward,7,-0.060266370714730635
anchor,log,forward,8,0.009451589919424708
anchor,log,forward,9,0.17078213293299668
anchor,log,forward,10,0.7954127231834514
primary,ito,backward,1,-0.17818279996223454
primary,ito,backward,2,-0.13373018630016048
primary,ito,backward,3,-0.08612510212404047
primary,ito,backward,4,-0.08081106388832028
primary,ito,backward,5,-0.046136996315315315
primary,ito,backward,6,-0.00911798428642066
primary,ito,backward,7,0.02778961613009192
primary,ito,backward,8,0.0528291761000511
primary,ito,backward,9,0.13306891935009318
primary,ito,backward,10,0.3204164212962556
primary,ito,forward,1,-0.12629115479188766
primary,ito,forward,2,-0.13709566668428763
primary,ito,forward,3,-0.12568108514827409
primary,ito,forward,4,-0.12226651621153437
primary,ito,forward,5,-0.1188141717374144
primary,ito,forward,6,-0.09061498711778901
primary,ito,forward,7,-0.06432597073746506
primary,ito,forward,8,-0.012327232714109732
primary,ito,forward,9,0.11999302042566601
primary,ito,forward,10,0.677423764717096
primary,log,backward,1,-0.17668139930587978
primary,log,backward,2,-0.1324780178485051
primary,log,backward,3,-0.08508248816503959
primary,log,backward,4,-0.08004417630941216
primary,log,backward,5,-0.04565584587187783
primary,log,backward,6,-0.009026548166360015
primary,log,backward,7,0.02733973975041167
primary,log,backward,8,0.053052292654987517
primary,log,backward,9,0.13283620875224209
primary,log,backward,10,0.3157402345094332
primary,log,forward,1,-0.134456763455762
primary,log,forward,2,-0.13621469079880527
primary,log,forward,3,-0.12851477672099285
primary,log,forward,4,-0.12460050797786917
primary,log,forward,5,-0.12118392578459045
primary,log,forward,6,-0.0983298765368157
primary,log,forward,7,-0.061034450843096916
primary,log,forward,8,-0.01480531796509081
primary,log,forward,9,0.12624602464030815
primary,log,forward,10,0.692894285442715
