model,seed,path,return_type,window,direction,decile,mean_standardized_response,count
primary,1230001,0,log,5,forward,1,-0.19411776470083975,125
primary,1230001,0,log,5,forward,2,-0.0355439979418048,125
primary,1230001,0,log,5,forward,3,-0.061008713670152585,125
primary,1230001,0,log,5,forward,4,-0.2712069223575294,125
primary,1230001,0,log,5,forward,5,-0.15745794753564912,125
primary,1230001,0,log,5,forward,6,-0.17797003142767143,125
primary,1230001,0,log,5,forward,7,0.025658553955684716,125
primary,1230001,0,log,5,forward,8,0.023687650594018762,125
primary,1230001,0,log,5,forward,9,0.1122206727853735,125
primary,1230001,0,log,5,forward,10,0.7357385002985706,125
primary,1230001,0,log,5,backward,1,-0.25196768486088206,125
primary,1230001,0,log,5,backward,2,-0.21919172155865027,125
primary,1230001,0,log,5,backward,3,-0.12644545190086456,125
primary,1230001,0,log,5,backward,4,0.08326938783558857,125
primary,1230001,0,log,5,backward,5,0.13655735345115044,125
primary,1230001,0,log,5,backward,6,-0.06324968784554576,125
primary,1230001,0,log,5,backward,7,-0.11081761496833668,125
primary,1230001,0,log,5,backward,8,-0.058102501031712876,125
primary,1230001,0,log,5,backward,9,0.18459805354397224,125
primary,1230001,0,log,5,backward,10,0.4253498673352804,125
primary,1230001,0,log,10,forward,1,-0.031541275976275956,124
primary,1230001,0,log,10,forward,2,-0.14441905456664117,124
primary,1230001,0,log,10,forward,3,-0.14768598415906709,124
primary,1230001,0,log,10,forward,4,-0.16422893403014768,124
primary,1230001,0,log,10,forward,5,-0.12402788242275703,124
primary,1230001,0,log,10,forward,6,-0.06044606165033402,124
primary,1230001,0,log,10,forward,7,-0.07498305915790103,124
primary,1230001,0,log,10,forward,8,0.004237860311683353,124
primary,1230001,0,log,10,forward,9,0.06318725403808355,124
primary,1230001,0,log,10,forward,10,0.67990713761336,124
primary,1230001,0,log,10,backward,1,-0.296745059445616,124
primary,1230001,0,log,10,backward,2,-0.20975485364026006,124
primary,1230001,0,log,10,backward,3,-0.192371300358228,124
primary,1230001,0,log,10,backward,4,-0.16978918131493043,124
primary,1230001,0,log,10,backward,5,0.024809449030757418,124
primary,1230001,0,log,10,backward,6,0.0630243095543221,124
primary,1230001,0,log,10,backward,7,0.030886168309968043,124
primary,1230001,0,log,10,backward,8,0.24053010857668292,124
primary,1230001,0,log,10,backward,9,0.2597420649408233,124
primary,1230001,0,log,10,backward,10,0.24966829434648138,124
primary,1230001,0,log,20,forward,1,-0.1611129748795039,122
primary,1230001,0,log,20,forward,2,-0.03954000945972779,122
primary,1230001,0,log,20,forward,3,-0.12327596315728694,122
primary,1230001,0,log,20,forward,4,-0.04971600145857025,122
primary,1230001,0,log,20,forward,5,-0.07878694226545407,122
primary,1230001,0,log,20,forward,6,0.04365104951644202,122
primary,1230001,0,log,20,forward,7,-0.15875313005109926,122
primary,1230001,0,log,20,forward,8,-0.13650409828031482,122
primary,1230001,0,log,20,forward,9,-0.08793957459385982,122
primary,1230001,0,log,20,forward,10,0.7919776446293741,122
primary,1230001,0,log,20,backward,1,-0.1413438398355668,122
primary,1230001,0,log,20,backward,2,-0.33661081002388443,122
primary,1230001,0,log,20,backward,3,-0.1628482556937088,122
primary,1230001,0,log,20,backward,4,-0.22528737814393268,122
primary,1230001,0,log,20,backward,5,-0.010399389658565454,122
primary,1230001,0,log,20,backward,6,0.03387406067006751,122
primary,1230001,0,log,20,backward,7,0.002842026260553399,122
primary,1230001,0,log,20,backward,8,0.55898530599935,122
primary,1230001,0,log,20,backward,9,-0.0797649113747437,122
primary,1230001,0,log,20,backward,10,0.3605531918004313,122
primary,1230001,0,ito,5,forward,1,-0.16394064841971037,125
primary,1230001,0,ito,5,forward,2,-0.05526211965331181,125
primary,1230001,0,ito,5,forward,3,-0.07289222492033987,125
primary,1230001,0,ito,5,forward,4,-0.2554748205160938,125
primary,1230001,0,ito,5,forward,5,-0.19129517729507525,125
primary,1230001,0,ito,5,forward,6,-0.1576141880565885,125
primary,1230001,0,ito,5,forward,7,0.06079276456980704,125
primary,1230001,0,ito,5,forward,8,0.007706801977418063,125
primary,1230001,0,ito,5,forward,9,0.09283857280808124,125
primary,1230001,0,ito,5,forward,10,0.7351410395058138,125
primary,1230001,0,ito,5,backward,1,-0.25319123816278083,125
primary,1230001,0,ito,5,backward,2,-0.22071648244683095,125
primary,1230001,0,ito,5,backward,3,-0.12725556372420055,125
primary,1230001,0,ito,5,backward,4,0.08265084358065487,125
primary,1230001,0,ito,5,backward,5,0.13448378683298498,125
primary,1230001,0,ito,5,backward,6,-0.06135299877000315,125
primary,1230001,0,ito,5,backward,7,-0.11128983897387856,125
primary,1230001,0,ito,5,backward,8,-0.059642847448977486,125
primary,1230001,0,ito,5,backward,9,0.18563018146624677,125
primary,1230001,0,ito,5,backward,10,0.4306841576467845,125
primary,1230001,0,ito,10,forward,1,-0.008085497538870532,124
primary,1230001,0,ito,10,forward,2,-0.09724426326910299,124
primary,1230001,0,ito,10,forward,3,-0.17551259974778677,124
primary,1230001,0,ito,10,forward,4,-0.20250101398719408,124
primary,1230001,0,ito,10,forward,5,-0.10250857779378106,124
primary,1230001,0,ito,10,forward,6,-0.09294193421069478,124
primary,1230001,0,ito,10,forward,7,-0.03943456979177583,124
