model,return_type,method,mean_forward,ci_low_forward,ci_high_forward,mean_backward,ci_low_backward,ci_high_backward,mean_zumbach,ci_low_zumbach,ci_high_zumbach
anchor,ito,gaussian_rank,0.23583027399251416,0.21135993781520754,0.26030061016982076,0.19781572866973576,0.16939080152868644,0.2262406558107851,0.03801454532277842,0.004827137361030402,0.07120195328452644
anchor,ito,kendall,0.14694780174473754,0.12854765429191436,0.1653479491975607,0.13473050816550786,0.11576487906026825,0.15369613727074746,0.012217293579229694,-0.013002191777698872,0.03743677893615826
anchor,ito,pearson,0.30080410794229656,0.2806404028088062,0.3209678130757869,0.1415110513220622,0.1122599664429548,0.17076213620116962,0.15929305662023435,0.14176294384123375,0.17682316939923495
anchor,ito,spearman,0.21700462829990771,0.19013105018038826,0.24387820641942717,0.20008503450918425,0.17239444888311575,0.22777562013525274,0.016919593790723463,-0.02033348603409968,0.054172673615546604
anchor,ito,trim_950,0.15971122376249375,0.13524521113979543,0.18417723638519207,0.1476430957245239,0.12361060813638601,0.17167558331266175,0.012068128037969875,-0.010806682682157457,0.0349429387580972
anchor,ito,trim_975,0.19916389688932112,0.17086857649532677,0.22745921728331547,0.15105260181095567,0.11674484597718798,0.18536035764472336,0.048111295078365444,0.013020360465138159,0.08320222969159273
anchor,ito,trim_990,0.24813078324172383,0.22346937040037487,0.2727921960830728,0.15379205241686944,0.1225381363185171,0.1850459685152218,0.09433873082485436,0.0704635995047958,0.11821386214491292
anchor,ito,trim_995,0.2741553655257453,0.252514478163471,0.29579625288801964,0.15279562674815012,0.12135771986255081,0.18423353363374942,0.12135973877759523,0.10529199930920778,0.13742747824598267
anchor,ito,winsor_950,0.2870769134644756,0.26070301182706596,0.31345081510188527,0.19299297694361092,0.15145290011479517,0.23453305377242667,0.09408393652086465,0.06270528155071885,0.12546259149101047
anchor,ito,winsor_975,0.3062498526931595,0.2813793071625148,0.33112039822380424,0.1806361829327396,0.14164504419270896,0.21962732167277021,0.12561366976041985,0.10282049258527087,0.14840684693556883
anchor,ito,winsor_990,0.3161182887936347,0.29380927813950264,0.3384272994477667,0.1650799962898182,0.13134233248469127,0.19881766009494514,0.15103829250381645,0.1330228118200809,0.169053773187552
anchor,ito,winsor_995,0.31424382556188285,0.29398059012584404,0.33450706099792166,0.15525263021781377,0.12503526160092873,0.1854699988346988,0.15899119534406905,0.14073187141370164,0.17725051927443647
anchor,log,gaussian_rank,0.23849309571946203,0.21401401620155944,0.2629721752373646,0.19613842106034607,0.16783136924886302,0.22444547287182912,0.04235467465911595,0.009414162209073713,0.0752951871091582
anchor,log,kendall,0.1485290202404883,0.1301614476131224,0.16689659286785422,0.13346902440056657,0.11467057849195869,0.15226747030917445,0.015059995839921741,-0.009979525793790528,0.04009951747363401
anchor,log,pearson,0.3029888959441907,0.2827136376299205,0.3232641542584609,0.13982572707240357,0.11041279470872783,0.1692386594360793,0.1631631688717871,0.14513309388154305,0.18119324386203117
anchor,log,spearman,0.2193205318952783,0.19249554965595217,0.24614551413460445,0.19827809110593403,0.17085769663927122,0.22569848557259684,0.021042440789344308,-0.015965111951383677,0.05804999353007229
anchor,log,trim_950,0.1618716850384554,0.13739854386361688,0.1863448262132939,0.14521986342920945,0.12183787388787874,0.16860185297054014,0.016651821609245936,-0.006056968878659134,0.039360612097151006
anchor,log,trim_975,0.20235473303235202,0.17324560962138347,0.23146385644332057,0.14938448245863545,0.11563137192351124,0.18313759299375965,0.05297025057371657,0.018100744692054693,0.08783975645537845
anchor,log,trim_990,0.25076536614517686,0.22634451609228193,0.27518621619807176,0.1514590389887573,0.12079919889969008,0.1821188790778245,0.09930632715641956,0.07495340043247103,0.12365925388036808
anchor,log,trim_995,0.27684859622178176,0.25571002982166013,0.2979871626219034,0.15098257457133385,0.11950688853959957,0.18245826060306813,0.1258660216504479,0.10868173439469325,0.14305030890620257
anchor,log,winsor_950,0.29058670791967633,0.2643930972499342,0.31678031858941846,0.19051389248630282,0.14924677601758649,0.23178100895501916,0.10007281543337354,0.06850669183954855,0.13163893902719853
anchor,log,winsor_975,0.3096794801611196,0.2853938805381162,0.33396507978412304,0.17806313844814323,0.1394048382913209,0.21672143860496557,0.13161634171297637,0.10858964504850918,0.15464303837744356
anchor,log,winsor_990,0.3191477818007948,0.2969748234116385,0.34132074018995107,0.16295032363761863,0.12945291940071038,0.19644772787452688,0.15619745816317615,0.13815016477936629,0.17424475154698602
anchor,log,winsor_995,0.31687341906200384,0.29636697140412094,0.33737986671988673,0.15334162744813085,0.12284986447619402,0.18383339042006766,0.16353179161387293,0.14470198842645365,0.18236159480129221
primary,ito,gaussian_rank,0.18935767270095166,0.1640167301187841,0.21469861528311923,0.17585311775956758,0.14561028922325137,0.2060959462958838,0.013504554941384066,-0.024826024913386247,0.05183513479615438
primary,ito,kendall,0.11300466016347085,0.09428488940561755,0.13172443092132416,0.1175885153055181,0.09802198416085396,0.13715504645018223,-0.004583855142047241,-0.03360580584491142,0.02443809556081694
primary,ito,pearson,0.2668753495150404,0.24448904116756368,0.28926165786251706,0.1389196104007841,0.10422193003001656,0.17361729077155164,0.12795573911425628,0.10215541748395049,0.15375606074456208
primary,ito,spearman,0.1674937347610967,0.14018534572060956,0.19480212380158382,0.17498420400480136,0.1462689776390315,0.20369943037057123,-0.007490469243704663,-0.04990334667984403,0.03492240819243471
primary,ito,trim_950,0.11799375036491984,0.08861977456820004,0.14736772616163965,0.13164207393398625,0.10411796734738062,0.1591661805205919,-0.0136483235690664,-0.05043776112006661,0.023141113981933803
primary,ito,trim_975,0.15781519969436206,0.12378345119658435,0.19184694819213977,0.13847027826781513,0.11417533423806459,0.16276522229756568,0.019344921426546927,-0.018462877321947676,0.05715272017504153
primary,ito,trim_990,0.2067505243914102,0.1782053089223655,0.2352957398604549,0.14423066568951945,0.11382031681887353,0.17464101456016537,0.06251985870189074,0.03162904624617878,0.0934106711576027
primary,ito,trim_995,0.23415198462746933,0.21243008775890987,0.2558738814960288,0.1461945319669992,0.11225007981463817,0.18013898411936022,0.08795745266047017,0.06539202812572358,0.11052287719521676
primary,ito,winsor_950,0.23822219111627807,0.20991702530671277,0.2665273569258434,0.17989808701389925,0.1401756139679783,0.2196205600598202,0.0583241041023788,0.019257821485344696,0.09739038671941291
primary,ito,winsor_975,0.2610446372541702,0.2359834459972753,0.28610582851106514,0.17260968881261265,0.13270326867899412,0.21251610894623119,0.08843494844155751,0.05902587036719872,0.1178440265159163
primary,ito,winsor_990,0.27667071802512294,0.25321298000742615,0.30012845604281974,0.16014033680145984,0.12152730549049168,0.198753368112428,0.11653038122366306,0.0929697090455321,0.14009105340179404
primary,ito,winsor_995,0.2774041506443168,0.2545811195255209,0.30022718176311264,0.15166081245134455,0.1152747652395594,0.1880468596631297,0.1257433381929722,0.10154280410336339,0.14994387228258102
primary,log,gaussian_rank,0.19311255658377038,0.16745335943799403,0.21877175372954674,0.17398735541279017,0.14457588681663475,0.2033988240089456,0.019125201170980217,-0.01921653725611197,0.057466939598072406
primary,log,kendall,0.11526761402936836,0.09660551798923249,0.13392971006950424,0.11624213686723303,0.09706679895910361,0.13541747477536245,-0.0009745228378646796,-0.029913093134513822,0.027964047458784464
primary,log,pearson,0.2705144912915299,0.24810531965842975,0.29292366292463,0.13686652178509373,0.10200292833332444,0.17173011523686302,0.1336479695064361,0.10780324620521417,0.15949269280765802
primary,log,spearman,0.17083797218161478,0.14364869159722915,0.19802725276600042,0.17302594464830187,0.1448811265512522,0.20117076274535153,-0.0021879724666871076,-0.04444716896338335,0.04007122403000913
primary,log,trim_950,0.12087755946135133,0.09060443089850101,0.15115068802420165,0.12919078471795992,0.10135263402187253,0.1570289354140473,-0.00831322525660858,-0.04678668853719616,0.030160238023979
primary,log,trim_975,0.16183903141860387,0.1271402696822669,0.19653779315494083,0.13509532683808176,0.11122294373375828,0.15896770994240522,0.02674370458052211,-0.011138180484998962,0.06462558964604317
primary,log,trim_990,0.21119760670959514,0.18307898878220635,0.23931622463698393,0.14174881667743838,0.11087743763667278,0.17262019571820397,0.06944879003215679,0.03786488406851057,0.101032695995803
primary,log,trim_995,0.23829486150073725,0.21589511640261388,0.2606946065988606,0.14396898227743388,0.10944564816240251,0.17849231639246524,0.09432587922330338,0.07153997936417539,0.11711177908243137
primary,log,winsor_950,0.24342503779095162,0.21513646310242224,0.271713612479481,0.177128838952249,0.13775521218222814,0.2165024657222699,0.06629619883870257,0.02703141895111691,0.10556097872628822
primary,log,winsor_975,0.2662926093455503,0.24131898309520491,0.2912662355958957,0.16976639372616442,0.12990137212624175,0.2096314153260871,0.09652621561938587,0.06681404570459462,0.12623838553417713
primary,log,winsor_990,0.28140140357986565,0.25804536357977237,0.30475744357995893,0.1575080356697845,0.11873322440903242,0.19628284693053658,0.12389336791008114,0.10008688268919508,0.1476998531309672
primary,log,winsor_995,0.28159014661113735,0.25855402362351726,0.30462626959875744,0.14928507021617626,0.11265313205493532,0.1859170083774172,0.13230507639496109,0.10788894877435107,0.1567212040155711
