model,seed,path,return_type,window,method,forward,backward,zumbach,forward_count,backward_count
primary,1230001,0,log,5,pearson,0.2414571490893706,0.1455710381237665,0.0958861109656041,1250,1250
primary,1230001,0,log,5,spearman,0.1690063755560804,0.23840251289760825,-0.06939613734152786,1250,1250
primary,1230001,0,log,5,gaussian_rank,0.19995586242713384,0.2332417249568789,-0.03328586252974505,1250,1250
primary,1230001,0,log,5,kendall,0.11312345876701362,0.1616153722978383,-0.048491913530824673,1250,1250
primary,1230001,0,log,5,winsor_995,0.27786246736803727,0.18149213605161654,0.09637033131642073,1250,1250
primary,1230001,0,log,5,winsor_990,0.2881006495683736,0.1969035885554083,0.09119706101296532,1250,1250
primary,1230001,0,log,5,winsor_975,0.2986115148494517,0.23671905150551814,0.06189246334393356,1250,1250
primary,1230001,0,log,5,winsor_950,0.26149247298734346,0.27481482563953563,-0.013322352652192171,1250,1250
primary,1230001,0,log,5,trim_995,0.2632524290116522,0.20113413094150664,0.062118298070145544,1236,1236
primary,1230001,0,log,5,trim_990,0.19176966043937688,0.2061985504729536,-0.014428890033576725,1224,1224
primary,1230001,0,log,5,trim_975,0.18294809398251016,0.2400739246331052,-0.05712583065059504,1189,1187
primary,1230001,0,log,5,trim_950,0.12512214546436543,0.22651985560432894,-0.10139771013996352,1141,1134
primary,1230001,0,log,10,pearson,0.2451292170583491,0.15895019243884162,0.0861790246195075,1240,1240
primary,1230001,0,log,10,spearman,0.1503743236548797,0.1915304273405401,-0.04115610368566039,1240,1240
primary,1230001,0,log,10,gaussian_rank,0.162406343185272,0.1956084770032423,-0.0332021338179703,1240,1240
primary,1230001,0,log,10,kendall,0.10255929599833373,0.1278190007550314,-0.025259704756697657,1240,1240
primary,1230001,0,log,10,winsor_995,0.2487955975080101,0.16143595551437556,0.08735964199363455,1240,1240
primary,1230001,0,log,10,winsor_990,0.26411114425174437,0.17095067471038494,0.09316046954135943,1240,1240
primary,1230001,0,log,10,winsor_975,0.2762418353565677,0.1832320069198668,0.09300982843670091,1240,1240
primary,1230001,0,log,10,winsor_950,0.25956233184674327,0.19401964302885627,0.065542688817887,1240,1240
primary,1230001,0,log,10,trim_995,0.2260451082369209,0.1425151936217622,0.08352991461515868,1226,1226
primary,1230001,0,log,10,trim_990,0.22753387458878155,0.1536693197996185,0.07386455478916304,1214,1214
primary,1230001,0,log,10,trim_975,0.170308716091348,0.1420286968659018,0.028280019225446207,1179,1178
primary,1230001,0,log,10,trim_950,0.09273186218495519,0.12928473954019273,-0.036552877355237545,1127,1119
primary,1230001,0,log,20,pearson,0.33658009959666924,0.17591513967120667,0.16066495992546256,1220,1220
primary,1230001,0,log,20,spearman,0.08418371290115126,0.18506785247596713,-0.10088413957481587,1220,1220
primary,1230001,0,log,20,gaussian_rank,0.13938369851936852,0.18947772392148712,-0.0500940254021186,1220,1220
primary,1230001,0,log,20,kendall,0.053822671095630666,0.12383168143735124,-0.07000901034172058,1220,1220
primary,1230001,0,log,20,winsor_995,0.3449063592020548,0.180017161876184,0.16488919732587082,1220,1220
primary,1230001,0,log,20,winsor_990,0.34634371820925125,0.18541710431685662,0.16092661389239463,1220,1220
primary,1230001,0,log,20,winsor_975,0.3207780877024571,0.19450675735122905,0.12627133035122803,1220,1220
primary,1230001,0,log,20,winsor_950,0.26512006329948207,0.18228610490067698,0.08283395839880509,1220,1220
primary,1230001,0,log,20,trim_995,0.3157393191527921,0.18790936656607946,0.12782995258671262,1206,1206
primary,1230001,0,log,20,trim_990,0.23297600287111803,0.19822634727380437,0.03474965559731366,1195,1194
primary,1230001,0,log,20,trim_975,0.12653937333504214,0.1416355758000378,-0.015096202464995656,1172,1158
primary,1230001,0,log,20,trim_950,0.025111413044924813,0.08380443748682587,-0.058693024441901054,1118,1109
primary,1230001,0,ito,5,pearson,0.23943685322280397,0.1478139154408211,0.09162293778198288,1250,1250
