model,seed,return_type,method,forward,backward,zumbach
anchor,1230001,ito,gaussian_rank,0.2028736944215662,0.2004758940784215,0.00239780034314467
anchor,1270009,ito,gaussian_rank,0.23564865728103712,0.1707295068007425,0.06491915048029456
anchor,1290017,ito,gaussian_rank,0.24821160101827033,0.2304107366309993,0.01780086438727096
anchor,1310021,ito,gaussian_rank,0.23918436237926116,0.18233507647309585,0.05684928590616534
anchor,1370003,ito,gaussian_rank,0.2532330548624361,0.20512742936541958,0.048105625497016545
anchor,1230001,ito,kendall,0.1217916203757898,0.13526852361212438,-0.013476903236334584
anchor,1270009,ito,kendall,0.14897598349154964,0.11651946905295303,0.032456514438596595
anchor,1290017,ito,kendall,0.15111219989803878,0.15614703867908825,-0.0050348387810494576
anchor,1310021,ito,kendall,0.151722907867279,0.12462410853242652,0.027098799334852486
anchor,1370003,ito,kendall,0.16113629709103053,0.1410934009509471,0.02004289614008343
anchor,1230001,ito,pearson,0.2917565756010931,0.14068443740824949,0.1510721381928436
anchor,1270009,ito,pearson,0.29426467543910895,0.11064231671353647,0.1836223587255725
anchor,1290017,ito,pearson,0.32957183385094496,0.1752823560349006,0.1542894778160443
anchor,1310021,ito,pearson,0.29140445493079126,0.13260878152348257,0.15879567340730869
anchor,1370003,ito,pearson,0.2970229998895445,0.1483373649301419,0.14868563495940265
anchor,1230001,ito,spearman,0.18024013565570748,0.2014924726003795,-0.02125233694467201
anchor,1270009,ito,spearman,0.22025050307953167,0.17258613461123273,0.04766436846829893
anchor,1290017,ito,spearman,0.22258901698964081,0.23053188195553767,-0.00794286496589683
anchor,1310021,ito,spearman,0.22425600576312085,0.18576841999240548,0.038487585770715343
anchor,1370003,ito,spearman,0.23768748001153772,0.21004626338636587,0.02764121662517189
anchor,1230001,ito,trim_950,0.13614397331546219,0.141146554296811,-0.005002580981348825
anchor,1270009,ito,trim_950,0.1526655284323137,0.12712806287319736,0.025537465559116342
anchor,1290017,ito,trim_950,0.1569527239753004,0.16753603795793798,-0.010583313982637583
anchor,1310021,ito,trim_950,0.16254900436448946,0.13367620346250156,0.02887280090198792
anchor,1370003,ito,trim_950,0.19024488872490294,0.16872862003217143,0.02151626869273152
anchor,1230001,ito,trim_975,0.17114264329497977,0.14719566138223655,0.023946981912743255
anchor,1270009,ito,trim_975,0.19779774089431898,0.12172707776013418,0.07607066313418481
anchor,1290017,ito,trim_975,0.19176540882658424,0.17776101012856624,0.01400439869801801
anchor,1310021,ito,trim_975,0.20084132494537607,0.12741387271664284,0.07342745222873322
anchor,1370003,ito,trim_975,0.23427236648534652,0.18116538706719854,0.05310697941814797
anchor,1230001,ito,trim_990,0.22622116666999295,0.15225038971713317,0.07397077695285977
anchor,1270009,ito,trim_990,0.2419735786415495,0.12214078350233461,0.11983279513921491
anchor,1290017,ito,trim_990,0.25629669420239803,0.18010330707208133,0.0761933871303167
anchor,1310021,ito,trim_990,0.23814029715812804,0.13705647900706416,0.10108381815106389
anchor,1370003,ito,trim_990,0.2780221795365506,0.17740930278573402,0.1006128767508166
anchor,1230001,ito,trim_995,0.2592846143560856,0.15183054187776712,0.10745407247831845
anchor,1270009,ito,trim_995,0.2599167804755051,0.12154789061308974,0.13836888986241538
anchor,1290017,ito,trim_995,0.2933180104773804,0.1823049637837337,0.1110130466936467
anchor,1310021,ito,trim_995,0.26544441427296833,0.1352736500822632,0.13017076419070517
anchor,1370003,ito,trim_995,0.29281300804678734,0.17302108738389685,0.11979192066289052
anchor,1230001,ito,winsor_950,0.2615251503258866,0.18972062951668334,0.07180452080920327
anchor,1270009,ito,winsor_950,0.27659146173243304,0.15141977056109113,0.12517169117134191
anchor,1290017,ito,winsor_950,0.29773835800794823,0.23194993961774957,0.06578841839019867
anchor,1310021,ito,winsor_950,0.2823548447305888,0.17141207685039828,0.11094276788019052
anchor,1370003,ito,winsor_950,0.31717475252552124,0.22046246817213236,0.0967122843533889
anchor,1230001,ito,winsor_975,0.2881483539389346,0.1816528735117035,0.1064954804272311
anchor,1270009,ito,winsor_975,0.29070398601460984,0.139474507100236,0.1512294789143738
anchor,1290017,ito,winsor_975,0.3295774411509876,0.2197220061234903,0.10985543502749731
anchor,1310021,ito,winsor_975,0.296610381234373,0.16218096966909526,0.13442941156527768
anchor,1370003,ito,winsor_975,0.3262091011268924,0.20015055825917288,0.1260585428677195
anchor,1230001,ito,winsor_990,0.30340011864665273,0.16821456075666724,0.13518555788998554
anchor,1270009,ito,winsor_990,0.30113987176519524,0.1277758139044184,0.1733640578607768
anchor,1290017,ito,winsor_990,0.344648231164709,0.20150343636540496,0.14314479479930403
anchor,1310021,ito,winsor_990,0.3089619315047034,0.15340579628996812,0.15555613521473532
anchor,1370003,ito,winsor_990,0.322441290886913,0.1745003741326323,0.14794091675428064
anchor,1230001,ito,winsor_995,0.3014579370592705,0.1570913991795736,0.14436653787969686
anchor,1270009,ito,winsor_995,0.30331499403407547,0.12130070718035582,0.18201428685371962
anchor,1290017,ito,winsor_995,0.3420616911889381,0.18871837116925633,0.15334332001968176
anchor,1310021,ito,winsor_995,0.3119433211276885,0.14779343575611126,0.16414988537157724
anchor,1370003,ito,winsor_995,0.31244118439944174,0.16135923780377193,0.15108194659566979
anchor,1230001,log,gaussian_rank,0.20542162364511385,0.19832912496908273,0.007092498676031124
anchor,1270009,log,gaussian_rank,0.2384277585412253,0.16938185392047156,0.06904590462075375
anchor,1290017,log,gaussian_rank,0.2510291954012918,0.22880493133677154,0.02222426406452032
anchor,1310021,log,gaussian_rank,0.24202556613300238,0.18072342271488762,0.06130214341811476
anchor,1370003,log,gaussian_rank,0.2555613348766768,0.203452772360517,0.05210856251615978
anchor,1230001,log,kendall,0.12329555047283239,0.1336040328173417,-0.010308482344509321
anchor,1270009,log,kendall,0.15096771145449597,0.11572589323524664,0.03524181821924934
anchor,1290017,log,kendall,0.15268927300854762,0.15485968878694228,-0.0021704157783946566
anchor,1310021,log,kendall,0.15328058942036762,0.12329242664252685,0.029988162777840784
anchor,1370003,log,kendall,0.16241197684619788,0.1398630805207753,0.02254889632542256
anchor,1230001,log,pearson,0.2937992846199837,0.13915699198330722,0.1546422926366765
anchor,1270009,log,pearson,0.2971685173950261,0.10932528516194753,0.18784323223307856
anchor,1290017,log,pearson,0.33203278505534845,0.17424361811369204,0.1577891669416564
anchor,1310021,log,pearson,0.2942098606042312,0.13032884533596786,0.16388101526826337
anchor,1370003,log,pearson,0.29773403204636406,0.14607389476710322,0.15166013727926086
anchor,1230001,log,spearman,0.18244435107200546,0.19912383768574124,-0.01667948661373575
anchor,1270009,log,spearman,0.22318799793311456,0.17149939657086447,0.05168860136225009
anchor,1290017,log,spearman,0.22490950481070365,0.22871955237840538,-0.003810047567701726
anchor,1310021,log,spearman,0.2265122086761526,0.18385667548354642,0.04265553319260616
anchor,1370003,log,spearman,0.23954859698441539,0.2081909934111126,0.03135760357330276
anchor,1230001,log,trim_950,0.1375397740876285,0.13714526155860374,0.0003945125290247596
anchor,1270009,log,trim_950,0.15617541065088025,0.1254030164532157,0.03077239419766457
anchor,1290017,log,trim_950,0.1588265833410943,0.16540814017888827,-0.00658155683779396
anchor,1310021,log,trim_950,0.16474732520917768,0.13289570009073526,0.03185162511844243
anchor,1370003,log,trim_950,0.19206933190349618,0.16524719886460432,0.026822133038891877
anchor,1230001,log,trim_975,0.17434102464147172,0.14359206782056455,0.030748956820907156
anchor,1270009,log,trim_975,0.20082243403436612,0.11986359974586727,0.08095883428849883
anchor,1290017,log,trim_975,0.19332012413955715,0.17620594414241209,0.01711417999714507
anchor,1310021,log,trim_975,0.20453590562189394,0.12818095307348043,0.07635495254841351
anchor,1370003,log,trim_975,0.23875417672447113,0.1790798475108529,0.059674329213618274
anchor,1230001,log,trim_990,0.2277228477236446,0.14974235101527394,0.07798049670837066
anchor,1270009,log,trim_990,0.24636350253428083,0.12124937573926624,0.1251141267950146
anchor,1290017,log,trim_990,0.2592567979583904,0.17797727992319604,0.08127951803519434
anchor,1310021,log,trim_990,0.2409383410574424,0.1340947762387915,0.10684356481865086
