model,seed,path,return_type,window,direction,positive_covariance_share_tail_950,positive_covariance_share_tail_975,positive_covariance_share_tail_990,positive_covariance_share_tail_995
primary,1230001,0,log,5,forward,0.6774593041317478,0.5967450609520627,0.47000357164242706,0.263326509140682
primary,1230001,0,log,5,backward,0.5480709386326732,0.43895347763158704,0.28357544044884336,0.17153343280959688
primary,1230001,0,log,10,forward,0.6631793882428195,0.5437255178606998,0.3518656201502577,0.2554100533619484
primary,1230001,0,log,10,backward,0.5356624141077039,0.43933872548602265,0.2961545908628861,0.2352254944191276
primary,1230001,0,log,20,forward,0.7156705458917201,0.6046391608794017,0.4177039557772156,0.21050003232650402
primary,1230001,0,log,20,backward,0.5401122783419852,0.3936021352962907,0.1605937888886123,0.09583987175202414
primary,1230001,0,ito,5,forward,0.6759739087248369,0.5953529219178584,0.4693312188577848,0.26334699386621657
primary,1230001,0,ito,5,backward,0.5479680524377839,0.4375670286864882,0.2841397317320288,0.17271559410924084
primary,1230001,0,ito,10,forward,0.6618101816569019,0.5429903032325962,0.35213728269653133,0.25560222119692727
primary,1230001,0,ito,10,backward,0.5340847792922682,0.4382459304138799,0.29672437595441087,0.23663178356709808
primary,1230001,0,ito,20,forward,0.711218460672874,0.6056106178845122,0.4194091850327993,0.21165515763229373
primary,1230001,0,ito,20,backward,0.5325182670801105,0.38902008161794044,0.16113386210911992,0.09660903998395397
primary,1230001,1,log,5,forward,0.6149165874252315,0.5419004622793622,0.4116606275233093,0.2997011184680622
primary,1230001,1,log,5,backward,0.4707999507776519,0.3687839230290501,0.2298740538806667,0.1941372127540569
primary,1230001,1,log,10,forward,0.4654663611986225,0.3823579473358088,0.2662739606456483,0.20028636187503654
primary,1230001,1,log,10,backward,0.2573417426731927,0.10032642353356068,0.025094320672027645,0.025094320672027645
primary,1230001,1,log,20,forward,0.30081694219080307,0.20794438815865102,0.12695794689249898,0.04865512174602114
primary,1230001,1,log,20,backward,0.31221151753732856,0.1365848820960956,0.08519560538287202,0.05155900582924593
primary,1230001,1,ito,5,forward,0.6114440652598105,0.5386862871850875,0.4092721633736622,0.29728861640888893
primary,1230001,1,ito,5,backward,0.46814836803749027,0.36657968033717536,0.22913560471818945,0.19224545669434973
primary,1230001,1,ito,10,forward,0.4621173818364029,0.3770709282108765,0.243857694206034,0.19768467599842895
primary,1230001,1,ito,10,backward,0.26409615957175714,0.10356781996623203,0.02659362157306084,0.02659362157306084
primary,1230001,1,ito,20,forward,0.2841178675568561,0.196814224727963,0.10859121105653675,0.04289265133955588
primary,1230001,1,ito,20,backward,0.3237203765236939,0.15107798604331518,0.09583764593898343,0.06288600887561874
primary,1230001,2,log,5,forward,0.7687522435109758,0.7258069665090665,0.6358496512408588,0.5226665611728981
primary,1230001,2,log,5,backward,0.631267759918679,0.5476386915661597,0.3842501822723876,0.29630786780262475
primary,1230001,2,log,10,forward,0.6979016096744954,0.6332836166215845,0.45683708639593007,0.3882852079441337
primary,1230001,2,log,10,backward,0.47181612801055817,0.34513910327943903,0.2309529230399546,0.13818197497392734
primary,1230001,2,log,20,forward,0.3361542852308347,0.17549821968161725,0.08722359809216214,0.0733882350196488
primary,1230001,2,log,20,backward,0.30428261965601583,0.23042961647332094,0.0901262449981721,0.05109819157826129
primary,1230001,2,ito,5,forward,0.7666431555369336,0.7238825090122408,0.6343706525932372,0.5209031907815128
primary,1230001,2,ito,5,backward,0.6291637773369446,0.5447209479493565,0.38566452083070907,0.2958127183751248
primary,1230001,2,ito,10,forward,0.6975711723841194,0.6317928710577967,0.4551631456847204,0.3708435565559022
primary,1230001,2,ito,10,backward,0.47234944332235385,0.3595153485373733,0.23050419957855775,0.1131084968630205
primary,1230001,2,ito,20,forward,0.33083188306077155,0.1704808618891386,0.10093199322458257,0.07168896883021127
primary,1230001,2,ito,20,backward,0.3071647334627938,0.23504234790687445,0.08123137494792464,0.048347379725071006
primary,1230001,3,log,5,forward,0.8072371143201277,0.7691810544594531,0.6410272819279658,0.5456588637559352
primary,1230001,3,log,5,backward,0.6228259541589061,0.551478480344228,0.3888066633773237,0.31048079708574855
primary,1230001,3,log,10,forward,0.7886585164429595,0.7162927441032979,0.578742743430578,0.4092952228877878
primary,1230001,3,log,10,backward,0.5903563801544834,0.4921013302633684,0.42485822391314854,0.29230780550606666
primary,1230001,3,log,20,forward,0.7004479494910241,0.6420688967161327,0.35272883803339766,0.16445414249630264
primary,1230001,3,log,20,backward,0.6533834456510661,0.5784221211444469,0.40164727215157303,0.22548061093053923
primary,1230001,3,ito,5,forward,0.8079347030188603,0.7628151627442384,0.6411663693026457,0.5468113332598834
primary,1230001,3,ito,5,backward,0.6170466209956879,0.5454995737422457,0.3833357098967685,0.30541290146198874
primary,1230001,3,ito,10,forward,0.7902496322731632,0.7155602581167949,0.5793274687685757,0.409543104935056
primary,1230001,3,ito,10,backward,0.5867213190030374,0.4893413338253366,0.42303136168395006,0.2911797985688222
primary,1230001,3,ito,20,forward,0.6973491040815286,0.64038882787565,0.37446633633655807,0.16415707181504582
primary,1230001,3,ito,20,backward,0.651717165511324,0.5792176441454467,0.4086172336269905,0.2250475644401892
primary,1230001,4,log,5,forward,0.8568338969943665,0.8308264086713818,0.7687544734213607,0.6604323792820964
primary,1230001,4,log,5,backward,0.461576772057784,0.351112244981475,0.15142796170026068,0.02050980997822011
primary,1230001,4,log,10,forward,0.800980086148429,0.7338405350491705,0.5579889403929198,0.46392712915021367
primary,1230001,4,log,10,backward,0.43942817859385114,0.39375460109998167,0.3082536063639173,0.2664153155068919
primary,1230001,4,log,20,forward,0.6211520984453396,0.5560357012260877,0.347072576002478,0.1639639847480689
primary,1230001,4,log,20,backward,0.5284886936015947,0.47460732903696595,0.2817100346715527,0.11385065032664735
primary,1230001,4,ito,5,forward,0.8545195383588965,0.8303461966437053,0.7691982993478556,0.6616564457141497
primary,1230001,4,ito,5,backward,0.45834213121314255,0.3520114909772752,0.15273043357238705,0.022537871512993485
primary,1230001,4,ito,10,forward,0.7940174811085531,0.732406433762784,0.5883389609578342,0.4639329931312014
primary,1230001,4,ito,10,backward,0.44805443669339373,0.4090078185764668,0.3125436159188464,0.2775507167457603
primary,1230001,4,ito,20,forward,0.6225284847404857,0.5592195315204342,0.34993674497005656,0.1651388217652098
primary,1230001,4,ito,20,backward,0.5309062476421479,0.47584553317691153,0.28061853341086457,0.1129643159745153
primary,1230001,5,log,5,forward,0.7506970682289814,0.6444347463335954,0.4995801047886947,0.32721243020944063
primary,1230001,5,log,5,backward,0.5965902040736244,0.47181789213753095,0.2788453324134503,0.16354914532005457
primary,1230001,5,log,10,forward,0.7450751045685118,0.7002197871174602,0.5614959949258045,0.47948761409546
primary,1230001,5,log,10,backward,0.6245438230285044,0.5385366163261027,0.3684833457146245,0.28649828543735373
primary,1230001,5,log,20,forward,0.7615375009326519,0.6972481617757025,0.5147312406035587,0.24961245948091063
primary,1230001,5,log,20,backward,0.7327763398606276,0.6875281051083403,0.5569480394234949,0.3405724120823905
primary,1230001,5,ito,5,forward,0.742473567712651,0.6430397351354337,0.49852154338599686,0.3277485261466673
primary,1230001,5,ito,5,backward,0.5927067220855576,0.464996500000529,0.2717803578917015,0.15920546176228778
primary,1230001,5,ito,10,forward,0.7459050522640859,0.6990977665522097,0.5612303835804652,0.47989059021310415
primary,1230001,5,ito,10,backward,0.6161447685161102,0.5305073258582511,0.3638876506130163,0.28446097132678033
primary,1230001,5,ito,20,forward,0.7566386557696129,0.6910755194034557,0.5146237291937285,0.25051573591990256
primary,1230001,5,ito,20,backward,0.7268357536722846,0.6821078767220514,0.5548411585142926,0.340089000003443
primary,1230001,6,log,5,forward,0.5987858976512893,0.5306372050417166,0.3215944800411674,0.21139094651715976
primary,1230001,6,log,5,backward,0.4954198563700115,0.4611576515101478,0.35862024438485945,0.26177996209752497
primary,1230001,6,log,10,forward,0.33748505731166045,0.23503016807509688,0.06257434975023977,0.005085486136351048
primary,1230001,6,log,10,backward,0.40084131751263885,0.26225785280725455,0.17622666488124697,0.1269953933652605
primary,1230001,6,log,20,forward,0.2220366266521972,0.088698574487875,0.03481748888414461,0.006392088068367587
primary,1230001,6,log,20,backward,0.5711565666644801,0.47200120544498647,0.2588864663655386,0.1444979548109813
primary,1230001,6,ito,5,forward,0.5937242521538606,0.5271188883575472,0.31878697797686206,0.20986550066515472
primary,1230001,6,ito,5,backward,0.500474004086529,0.4612149228850835,0.3583834597752148,0.2615275226598135
primary,1230001,6,ito,10,forward,0.3187481322664641,0.234349554568081,0.061869302221092125,0.005106645270890484
primary,1230001,6,ito,10,backward,0.4133403990313136,0.2653640702624123,0.17927573219239387,0.12935198550858282
primary,1230001,6,ito,20,forward,0.20979061205025867,0.08218181096824052,0.0313293052500749,0.004995163163772778
primary,1230001,6,ito,20,backward,0.5734200080994731,0.46768006424932806,0.2698290800195526,0.14392243122105677
primary,1230001,7,log,5,forward,0.7787478865868396,0.7431308463210309,0.6399067596166983,0.5370650905576158
primary,1230001,7,log,5,backward,0.48474235790278136,0.4275814262127476,0.3087617976479066,0.185656835624667
primary,1230001,7,log,10,forward,0.7243945889387415,0.6513084980685818,0.5726197922624019,0.4131041241524747
primary,1230001,7,log,10,backward,0.20156513780706434,0.13602787277637957,0.05247262472337747,0.024215813226235984
primary,1230001,7,log,20,forward,0.5213418413448543,0.40123915165636853,0.17808085645919824,0.07137043505357633
primary,1230001,7,log,20,backward,0.22513168072609657,0.10960523819500771,0.06214020702319537,0.050088669741604086
primary,1230001,7,ito,5,forward,0.7785466862433681,0.7352493965211246,0.6392192947126721,0.5379103412505024
primary,1230001,7,ito,5,backward,0.48268132295723126,0.4207918283034022,0.30105121774521826,0.18099091155876548
primary,1230001,7,ito,10,forward,0.7226795164211104,0.6498703546914738,0.5708511594907199,0.412813019272214
primary,1230001,7,ito,10,backward,0.19918703410197555,0.13231596631103779,0.0548930792640808,0.02868260066936569
primary,1230001,7,ito,20,forward,0.5039766426162572,0.39514367337234935,0.17605025138514319,0.07066281213097407
primary,1230001,7,ito,20,backward,0.23312948989462487,0.11780595981755407,0.07029050214300754,0.05546166811040166
primary,1230001,8,log,5,forward,0.8670036255962127,0.8465908437359432,0.7462374449032434,0.6632884075799482
primary,1230001,8,log,5,backward,0.8373699888438152,0.8025436403520311,0.701819863207622,0.6005651251831419
primary,1230001,8,log,10,forward,0.8352616812789133,0.8147335520625145,0.7732925644071218,0.6179545149672983
primary,1230001,8,log,10,backward,0.8506147831118273,0.828893005508202,0.7577207107750438,0.5934480895537334
primary,1230001,8,log,20,forward,0.8157677912259823,0.7967458424166209,0.6333520942498062,0.37538734745998487
primary,1230001,8,log,20,backward,0.7954779772386869,0.762948120104146,0.5278376720875272,0.3375772372480696
primary,1230001,8,ito,5,forward,0.8644461671404604,0.843838872253021,0.7366414921270205,0.6623792900196219
primary,1230001,8,ito,5,backward,0.8348568075577196,0.7985416928153203,0.693175764439174,0.5994071217686712
primary,1230001,8,ito,10,forward,0.8292248850801697,0.8119939244328263,0.7670616492801708,0.6132311662079819
primary,1230001,8,ito,10,backward,0.8482048913613904,0.8168179624431682,0.7535122176637217,0.5952222684976343
primary,1230001,8,ito,20,forward,0.8110063258016393,0.7914525826523579,0.6304613490587777,0.374218605836569
primary,1230001,8,ito,20,backward,0.7929898679895877,0.7565865725099613,0.5294060035748883,0.34110397452780844
primary,1230001,9,log,5,forward,0.7682195735016826,0.6711262162442159,0.5346896866377361,0.3913324861829005
primary,1230001,9,log,5,backward,0.6740895629619695,0.5990604359313211,0.4873174036174334,0.3261864391211813
primary,1230001,9,log,10,forward,0.7385536880663515,0.6764197189308653,0.5669656439632279,0.4288911119526062
primary,1230001,9,log,10,backward,0.6104801716042799,0.5284038196682261,0.41892678816099477,0.28817437747498853
primary,1230001,9,log,20,forward,0.7012572086432165,0.6053552063929993,0.5260800552288588,0.3153324942288122
primary,1230001,9,log,20,backward,0.4074567025487111,0.34091128817144684,0.16132461247651272,0.12831739101453918
primary,1230001,9,ito,5,forward,0.7683878432782233,0.6723327033551584,0.5363823938620619,0.39652470237038295
primary,1230001,9,ito,5,backward,0.6691110761237878,0.5963057985235977,0.4846083465599266,0.3242988069725312
primary,1230001,9,ito,10,forward,0.7368965740107308,0.6706940665150344,0.5654984113590775,0.4276105920224696
primary,1230001,9,ito,10,backward,0.6070888088912916,0.5231680790251231,0.40189932202392115,0.2868985833507668
